TmMin	IdleSz	NeedChgQSz	mssnQSz	NumChg	V0	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19
11	8	0	0	3	IN_FLIGHT-3-9	IN_FLIGHT-3-1	IDLE-ALPHA	IDLE-ALPHA	IDLE-ALPHA	IN_FLIGHT-4-7	IN_FLIGHT-4-2	IN_FLIGHT-4-0	IDLE-BRAVO	IN_FLIGHT-2-10	IDLE-CHARLIE	IDLE-CHARLIE	IN_FLIGHT-2-5	IDLE-CHARLIE	IN_FLIGHT-1-11	IDLE-DELTA	IN_FLIGHT-1-3	IN_FLIGHT-1-8	IN_FLIGHT-1-4	IN_FLIGHT-1-6	
12	7	0	0	3	IN_FLIGHT-3-10	IN_FLIGHT-3-2	IN_FLIGHT-3-0	IDLE-ALPHA	IDLE-ALPHA	IN_FLIGHT-4-8	IN_FLIGHT-4-3	IN_FLIGHT-4-1	IDLE-BRAVO	IN_FLIGHT-2-11	IDLE-CHARLIE	IDLE-CHARLIE	IN_FLIGHT-2-6	IDLE-CHARLIE	IN_FLIGHT-1-12	IDLE-DELTA	IN_FLIGHT-1-4	IN_FLIGHT-1-9	IN_FLIGHT-1-5	IN_FLIGHT-1-7	
13	6	0	0	3	IN_FLIGHT-3-11	IN_FLIGHT-3-3	IN_FLIGHT-3-1	IDLE-ALPHA	IDLE-ALPHA	IN_FLIGHT-4-9	IN_FLIGHT-4-4	IN_FLIGHT-4-2	IDLE-BRAVO	IN_FLIGHT-2-12	IDLE-CHARLIE	IDLE-CHARLIE	IN_FLIGHT-2-7	IN_FLIGHT-2-0	IN_FLIGHT-1-13	IDLE-DELTA	IN_FLIGHT-1-5	IN_FLIGHT-1-10	IN_FLIGHT-1-6	IN_FLIGHT-1-8	
14	5	0	0	3	IN_FLIGHT-3-12	IN_FLIGHT-3-4	IN_FLIGHT-3-2	IDLE-ALPHA	IDLE-ALPHA	IN_FLIGHT-4-10	IN_FLIGHT-4-5	IN_FLIGHT-4-3	IDLE-BRAVO	IN_FLIGHT-2-13	IDLE-CHARLIE	IN_FLIGHT-2-0	IN_FLIGHT-2-8	IN_FLIGHT-2-1	IN_FLIGHT-1-14	IDLE-DELTA	IN_FLIGHT-1-6	IN_FLIGHT-1-11	IN_FLIGHT-1-7	IN_FLIGHT-1-9	
15	4	0	0	3	IN_FLIGHT-3-13	IN_FLIGHT-3-5	IN_FLIGHT-3-3	IDLE-ALPHA	IDLE-ALPHA	IN_FLIGHT-4-11	IN_FLIGHT-4-6	IN_FLIGHT-4-4	IDLE-BRAVO	IN_FLIGHT-2-14	IDLE-CHARLIE	IN_FLIGHT-2-1	IN_FLIGHT-2-9	IN_FLIGHT-2-2	IN_FLIGHT-1-15	IN_FLIGHT-1-0	IN_FLIGHT-1-7	IN_FLIGHT-1-12	IN_FLIGHT-1-8	IN_FLIGHT-1-10	
16	3	0	0	3	IN_FLIGHT-3-14	IN_FLIGHT-3-6	IN_FLIGHT-3-4	IN_FLIGHT-3-0	IDLE-ALPHA	IN_FLIGHT-4-12	IN_FLIGHT-4-7	IN_FLIGHT-4-5	IDLE-BRAVO	IN_FLIGHT-2-15	IDLE-CHARLIE	IN_FLIGHT-2-2	IN_FLIGHT-2-10	IN_FLIGHT-2-3	IN_FLIGHT-1-16	IN_FLIGHT-1-1	IN_FLIGHT-1-8	IN_FLIGHT-1-13	IN_FLIGHT-1-9	IN_FLIGHT-1-11	
17	2	0	0	3	IN_FLIGHT-3-15	IN_FLIGHT-3-7	IN_FLIGHT-3-5	IN_FLIGHT-3-1	IDLE-ALPHA	IN_FLIGHT-4-13	IN_FLIGHT-4-8	IN_FLIGHT-4-6	IN_FLIGHT-4-0	IN_FLIGHT-2-16	IDLE-CHARLIE	IN_FLIGHT-2-3	IN_FLIGHT-2-11	IN_FLIGHT-2-4	IN_FLIGHT-1-17	IN_FLIGHT-1-2	IN_FLIGHT-1-9	IN_FLIGHT-1-14	IN_FLIGHT-1-10	IN_FLIGHT-1-12	
18	1	0	0	3	IN_FLIGHT-3-16	IN_FLIGHT-3-8	IN_FLIGHT-3-6	IN_FLIGHT-3-2	IDLE-ALPHA	IN_FLIGHT-4-14	IN_FLIGHT-4-9	IN_FLIGHT-4-7	IN_FLIGHT-4-1	IN_FLIGHT-2-17	IN_FLIGHT-1-0	IN_FLIGHT-2-4	IN_FLIGHT-2-12	IN_FLIGHT-2-5	IN_FLIGHT-1-18	IN_FLIGHT-1-3	IN_FLIGHT-1-10	IN_FLIGHT-1-15	IN_FLIGHT-1-11	IN_FLIGHT-1-13	
19	0	0	0	3	IN_FLIGHT-3-17	IN_FLIGHT-3-9	IN_FLIGHT-3-7	IN_FLIGHT-3-3	IN_FLIGHT-1-0	IN_FLIGHT-4-15	IN_FLIGHT-4-10	IN_FLIGHT-4-8	IN_FLIGHT-4-2	IN_FLIGHT-2-18	IN_FLIGHT-1-1	IN_FLIGHT-2-5	IN_FLIGHT-2-13	IN_FLIGHT-2-6	IN_FLIGHT-1-19	IN_FLIGHT-1-4	IN_FLIGHT-1-11	IN_FLIGHT-1-16	IN_FLIGHT-1-12	IN_FLIGHT-1-14	
20	0	0	1	3	IN_FLIGHT-3-18	IN_FLIGHT-3-10	IN_FLIGHT-3-8	IN_FLIGHT-3-4	IN_FLIGHT-1-1	IN_FLIGHT-4-16	IN_FLIGHT-4-11	IN_FLIGHT-4-9	IN_FLIGHT-4-3	IN_FLIGHT-2-19	IN_FLIGHT-1-2	IN_FLIGHT-2-6	IN_FLIGHT-2-14	IN_FLIGHT-2-7	IN_FLIGHT-1-20	IN_FLIGHT-1-5	IN_FLIGHT-1-12	IN_FLIGHT-1-17	IN_FLIGHT-1-13	IN_FLIGHT-1-15	
